PG.ProteinGroups,cancer,control
Q06033,36,35
Q06124,14,14
Q06136,4,4
Q06141,3,3
Q06187,26,26
Q06210,9,9
Q06323,11,12
Q06481,20,20
Q06828,8,8
Q06830,11,11
Q07020,5,5
Q07021,8,8
Q07507,7,7
Q07812,4,4
Q07866,18,18
Q07954,86,86
Q07955,6,5
Q07960,15,15
Q08174,4,4
Q08209,4,4
Q08257,9,9
Q08379,15,16
Q08380,15,15
Q08397,16,17
Q08426,8,8
Q08431,12,12
Q08495,15,15
Q08554,6,6
Q08629,3,3
Q08722,5,5
Q08752,9,9
Q08830,23,22
Q09327,3,3
Q09328,4,4
Q09470,2,2
Q09666,26,26
Q0VAF6,2,2
Q0VD83,29,29
Q0ZGT2,23,23
Q10471,13,13
Q10472,5,5
Q10567,13,13
Q10588,5,5
Q12765,10,10
Q12768,18,18
Q12794,4,4
Q12797,21,21
Q12800,4,4
Q12805,20,20
Q12841,6,6
Q12846,9,9
Q12851,18,18
Q12882,9,9
Q12904,13,13
Q12907,11,11
Q12912,10,10
Q12913,31,31
Q12931,13,13
Q12965,8,8
Q12974;Q93096,2,2
Q12982,4,4
Q13011,9,9
Q13033,16,16
Q13042,8,8
Q13043,15,15
Q13045,41,42
Q13057,6,6
Q13094,20,20
Q13098,13,13
Q13103,8,8
Q13107,19,19
Q13126,7,8
Q13131,13,13
Q13136,6,7
Q13144,14,14
Q13148,6,6
Q13162,11,11
Q13177,15,15
Q13185,3,3
Q13188,15,15
Q13190,5,5
Q13200,25,26
Q13201,49,49
Q13214,7,7
Q13217,12,13
Q13228,15,15
Q13247,4,4
Q13283,8,7
Q13303,6,6
Q13316,3,3
Q13347,13,13
Q13361,3,4
Q13363,7,7
Q13404,4,4
Q13409,5,5
Q13418,21,21
Q13421,9,9
Q13423,29,29
Q13435,5,4
Q13438,8,8
Q13442,4,4
Q13444,4,4
Q13459,28,27
Q13464,37,38
Q13492,11,11
Q13496,19,18
Q13501,6,6
Q13510,5,6
Q13526,6,6
Q13546,6,6
Q13554,8,8
Q13555,4,4
Q13557,6,6
Q13561,15,15
Q13564,9,9
Q13576,70,72
Q13586,21,21
Q13596,15,15
Q13609,6,6
Q13610,5,5
Q13617,13,13
Q13618,15,15
Q13619,5,5
Q13620,8,8
Q13627,4,4
Q13630,6,6
Q13637,10,10
Q13642,11,11
Q13643,4,4
Q13683,8,8
Q13724,8,9
Q13753,10,0
Q13790,8,8
Q13813,66,68
Q13822,16,16
Q13838,2,2
Q13867,9,9
Q13884,19,19
Q13885;Q9BVA1,6,6
Q13938,7,0
Q13976,18,18
Q14008,69,69
Q14011,4,4
Q14012,11,11
Q14019,6,6
Q14088,6,7
Q14103,3,3
Q14112,43,45
Q14116,2,2
Q14118,12,12
Q14126,8,8
Q14139,9,9
Q14141,7,7
Q14152,23,23
Q14155,17,17
Q14156,13,13
Q14157,10,10
Q14161,6,6
Q14162,11,11
Q14165,9,9
Q14166,20,20
Q14185,5,5
Q14192,7,7
Q14203,47,47
Q14204,108,108
Q14232,7,7
Q14240,5,5
Q14242,2,2
Q14247,24,24
Q14254,16,16
Q14257,7,7
Q14258,14,14
Q14289,20,21
Q14314,5,5
Q14318,8,8
Q14344,17,17
Q14392,9,9
Q14393,31,31
Q14432,22,22
Q14444,4,4
Q14515,29,29
Q14517,88,88
Q14520,42,42
Q14554,20,20
Q14558,7,7
Q14571,53,54
Q14574,7,6
Q14624,29,30
Q14642,11,11
Q14643,52,54
Q14644,43,43
Q14677,15,15
Q14696,7,7
Q14697,44,45
Q14699,7,8
Q14738,5,5
Q14764,21,21
Q14766,56,56
Q14767,28,29
Q14789,10,10
Q14847,11,11
Q14956,2,2
Q14974,25,26
Q14BN4,19,19
Q14C86,23,23
Q15005,5,5
Q15006,5,5
Q15008,12,12
Q15018,6,6
Q15019,16,16
Q15029,5,5
Q15036,7,7
Q15042,22,23
Q15046,12,12
Q15052,3,3
Q15056,5,5
Q15057,11,11
Q15063,28,28
Q15067,16,16
Q15075,25,26
Q15084,15,15
Q15113,21,21
Q15118,15,15
Q15121,3,3
Q15126,10,10
Q15147,6,6
Q15149,174,176
Q15165,9,9
Q15166,15,15
Q15172,13,13
Q15181,8,8
Q15185,7,7
Q15208,11,11
Q15257,7,7
Q15262,6,6
Q15286,8,8
Q15293,17,17
Q15311,6,6
Q15363,5,5
Q15365,12,12
Q15366,9,9
Q15369,6,6
Q15370,5,5
Q15382,5,5
Q15386,17,17
Q15389,11,11
Q15404,16,17
Q15418,4,5
Q15424,3,3
Q15435,10,10
Q15436,17,17
Q15477,9,10
Q15485,11,11
Q15555,14,14
Q15582,23,23
Q15628,3,3
Q15629,3,3
Q15631,5,5
Q15642,13,13
Q15691,11,11
Q15738,8,8
Q15746,51,53
Q15750,6,6
Q15762,6,6
Q15771,8,8
Q15785,11,11
Q15796,6,6
Q15797,4,4
Q15813,9,9
Q15833,33,33
Q15836,4,4
Q15904,7,7
Q15907,2,2
Q15942,21,21
Q16181,20,21
Q16270,5,5
Q16363,32,32
Q16401,9,9
Q16512,20,20
Q16531,23,23
Q16537,5,6
Q16539,11,11
Q16543,9,9
Q16555,21,21
Q16581,2,2
Q16595,4,4
Q16610,17,17
Q16627,5,5
Q16643,20,20
Q16644,5,5
Q16698,11,11
Q16706,29,29
Q16718,5,5
Q16719,3,0
Q16740,4,4
Q16762,11,11
Q16769,13,13
Q16775,4,4
Q16777;Q6FI13,3,3
Q16795,10,10
Q16799,15,15
Q16820,4,4
Q16822,16,16
Q16836,9,9
Q16851,15,16
Q16881,6,6
Q16891,28,28
Q17RC7,11,11
Q1KMD3,11,10
Q27J81,46,46
Q2M389,15,16
Q2M3D2,8,7
Q2PZI1,7,7
Q32MZ4,19,19
Q32P28,6,6
Q32P44,15,15
Q3LXA3,12,11
Q3SXM5,9,9
Q3YEC7,9,9
Q3ZCW2,8,8
Q4AE62,6,6
Q4G0F5,15,15
Q4G0N0,2,2
Q4KMP7,17,17
Q4KMQ2,29,29
Q4LDE5,86,86
Q4V328,17,17
Q53EL6,10,10
Q53GG5,4,4
Q53GQ0,11,11
Q53H12,9,9
Q53H76,8,8
Q53HC9,8,8
Q53QZ3,11,11
Q53RD9,4,4
Q53T59,11,11
Q562R1,5,5
Q5BJH7,5,5
Q5BKT4;Q5I7T1,7,7
Q5EG05,3,3
Q5H9R7,18,19
Q5JRA6,27,28
Q5JRX3,12,12
Q5JSH3,43,43
Q5JSL3,31,31
Q5JSP0,13,13
Q5JU69,4,4
Q5KU26,6,6
Q5M775,14,14
Q5QJ74,9,9
Q5R3I4,8,8
Q5SGD2,7,7
Q5SQ64,7,7
Q5SW79,14,16
Q5SW96,9,9
Q5SZK8,47,49
Q5T0F9,9,8
Q5T0N5,17,17
Q5T1M5,20,20
Q5T447,30,30
Q5T4S7,113,113
Q5T5C0,20,20
Q5TAQ9,4,4
Q5TCZ1,13,13
Q5TFE4,5,5
Q5UE93,11,11
Q5VIR6,13,13
Q5VT25,12,12
Q5VVQ6,4,4
Q5VW32,5,5
Q5VW36,9,9
Q5VWC8,6,6
Q5VWZ2,6,6
Q5VY43,14,14
Q5VYK3,21,21
Q5VYS8,8,8
Q5VZ89,27,27
Q5VZK9,15,14
Q5W0V3,13,13
Q5W111,5,5
Q63HN8,24,24
Q63ZY3,6,6
Q641Q2,14,14
Q641Q3,5,5
Q658P3,8,8
Q658Y4,9,9
Q66K14,17,17
Q66K74,11,11
Q66LE6,4,4
Q684P5,18,18
Q68D51,12,12
Q68D91,6,6
Q68EM7,9,9
Q6DD88,16,16
Q6E0U4,5,5
Q6EMK4,4,4
Q6FHJ7,2,0
Q6GMV2,6,6
Q6GPI1,4,4
Q6IA69,5,5
Q6IAA8,5,5
Q6IAN0,8,8
Q6IBS0,14,14
Q6ICL3,5,5
Q6L8Q7,5,5
Q6NUJ1,3,2
Q6NUK1,12,12
Q6NVY1,8,8
Q6NXE6,5,5
Q6NYC1,3,3
Q6P1A2,7,7
Q6P1M0,20,20
Q6P1N0,8,8
Q6P2E9,13,13
Q6P3W7,16,16
Q6P3X3,14,14
Q6P4E1,7,7
Q6P587,4,4
Q6P988,9,9
Q6P996,13,13
Q6P9B6,6,6
Q6PCE3,4,4
Q6PD74,5,5
Q6PGP7,10,10
Q6PHR2,7,7
Q6PI48,10,10
Q6PIU2,6,6
Q6PJW8,18,18
Q6PKG0,7,7
Q6PL24,9,9
Q6Q788,19,19
Q6QNY0,3,3
Q6RW13,3,3
Q6ULP2,5,5
Q6UVK1,37,37
Q6UW02,7,7
Q6UWD8,5,5
Q6UWL2,12,12
Q6UWP8,5,5
Q6UWY5,3,3
Q6UX71,9,9
Q6UXB2,2,2
Q6UXB8,8,8
Q6UXI9,4,4
Q6UXV4,8,8
Q6UY14,4,4
Q6V0I7,34,33
Q6VY07,16,17
Q6WCQ1,21,22
Q6XQN6,14,14
Q6YHK3,26,27
Q6ZMI0,5,6
Q6ZNJ1,48,47
Q6ZRY4,4,4
Q6ZT21,4,4
Q6ZU35,15,15
Q6ZVM7,14,15
Q6ZWT7,8,8
Q709C8,84,85
Q70J99,44,44
Q712K3,4,4
Q76LX8,14,14
Q76M96,8,7
Q7KZF4,35,36
Q7KZI7,7,7
Q7L1Q6,11,11
Q7L1W4,20,20
Q7L266,3,3
Q7L2H7,12,12
Q7L576,45,45
Q7L591,15,16
Q7L5N1,8,8
Q7L5Y1,5,5
Q7L7X3,19,19
Q7L8L6,12,11
Q7L9L4;Q9H8S9,5,5
Q7LDG7,23,23
Q7LGC8,7,7
Q7Z2K6,10,10
Q7Z2W4,17,18
Q7Z2Z2,6,6
Q7Z304,19,19
Q7Z3J2,12,12
Q7Z3U7,14,14
Q7Z3V4,7,6
Q7Z401,13,13
Q7Z422,2,2
Q7Z434,11,11
Q7Z460,23,23
Q7Z478,34,34
Q7Z4W1,5,5
Q7Z5G4,3,3
Q7Z5L0,4,4
Q7Z5L7,3,3
Q7Z5R6,6,6
Q7Z6Z7,79,80
Q7Z7E8,6,6
Q7Z7G0,19,18
Q7Z7H5,5,6
Q86T03,5,5
Q86TH1,9,9
Q86TP1,13,13
Q86TV6,15,15
Q86TX2,8,8
Q86TY3,4,4
Q86UD1,5,5
Q86UE4,11,11
Q86UF1,3,3
Q86UP2,30,31
Q86UT6,22,23
Q86UX2,7,7
Q86UX7,42,43
Q86VP3,6,6
Q86VP6,34,34
Q86VS8,14,14
Q86VW0,7,7
Q86WI1,53,54
Q86WR0,5,4
Q86WR7,7,7
Q86WV6,5,5
Q86X10,11,12
Q86X29,11,11
Q86X76,4,4
Q86Y38,4,4
Q86Y39,5,5
Q86Y82,6,6
Q86YL5,9,9
Q86YQ8,2,2
Q86YS7,5,5
Q86YV0,6,6
Q86YW5,7,7
Q8IUI8,12,12
Q8IUK5,6,6
Q8IUL8,7,7
Q8IUN9,4,4
Q8IUR7,13,13
Q8IUX7,30,30
Q8IVB4,8,8
Q8IVT5,12,12
Q8IW45,5,6
Q8IWA5,14,14
Q8IWB7,12,13
Q8IWB9,9,9
Q8IWE2,5,5
Q8IWU5,7,7
Q8IWV7,25,25
Q8IWY4,13,11
Q8IXI1,10,10
Q8IXJ6,12,12
Q8IXK2,5,5
Q8IXQ6,8,8
Q8IY17,11,11
Q8IY22,13,13
Q8IYB5,2,2
Q8IYI6,6,6
Q8IYU8,9,9
Q8IZ81,4,4
Q8IZ83,8,8
Q8IZD0,9,9
Q8IZF2,9,9
Q8IZH2,10,10
Q8IZP0,13,13
Q8N0X7,7,7
Q8N128,5,5
Q8N1A6,6,6
Q8N1B4,7,7
Q8N1G4,10,11
Q8N2G8,7,7
Q8N2S1,29,29
Q8N335,6,6
Q8N392,28,28
Q8N3C0,25,25
Q8N3D4,18,18
Q8N3F0,3,3
Q8N3T1,9,9
Q8N436,9,9
Q8N474,9,7
Q8N490,9,9
Q8N4C8,8,8
Q8N4L2,8,8
Q8N4T8,4,4
Q8N573,9,9
Q8N5C1,5,6
Q8N5I2,4,4
Q8N5J2,10,10
Q8N5K1,4,4
Q8N5M4,3,3
Q8N699,5,5
Q8N6H7,14,14
Q8N6M0,4,4
Q8N6T3,7,7
Q8N766,22,22
Q8N983,2,2
Q8N9N7,4,4
Q8N9N8,2,2
Q8N9U0,17,18
Q8NB16,5,5
Q8NBF2,15,15
Q8NBJ4,13,13
Q8NBJ7,9,9
Q8NBM4,7,7
Q8NBM8,9,9
Q8NBP7,19,19
Q8NBQ5,10,11
Q8NBR6,4,4
Q8NBS9,12,12
Q8NBU5,5,5
Q8NBX0,13,13
Q8NBZ7,6,6
Q8NC51,6,6
Q8NCA5,8,8
Q8NCE2,7,7
Q8NCH0,6,6
Q8NCW5,6,6
Q8ND76,3,3
Q8NDA2,7,7
Q8NDB2,14,14
Q8NDZ4,9,9
Q8NE71,29,29
Q8NE86,13,13
Q8NEB9,5,5
Q8NES3,6,6
Q8NEU8,28,28
Q8NEV1,10,10
Q8NEZ2,7,7
Q8NF37,5,5
Q8NF50,29,30
Q8NFH8,6,7
Q8NFV4,8,8
Q8NG06,18,18
Q8NG11,4,4
Q8NHG8,4,4
Q8NHP6,5,5
Q8NI08,10,10
Q8NI22,5,5
Q8NI99,26,27
Q8TAT6,11,11
Q8TB03,3,3
Q8TB24,9,9
Q8TB40,3,3
Q8TB73,8,8
Q8TBC4,7,7
Q8TBF2,6,6
Q8TC07,21,21
Q8TC12,12,12
Q8TCD5,5,5
Q8TCF1,4,4
Q8TCJ2,7,8
Q8TCT8,2,2
Q8TCT9,5,5
Q8TCZ2,3,3
Q8TD06,5,5
Q8TD16,8,8
Q8TD19,14,14
Q8TD55,16,16
Q8TDB6,9,9
Q8TDL5,23,23
Q8TDX7,7,7
Q8TDZ2,20,21
Q8TEA8,7,7
Q8TEQ0,5,5
Q8TER0,4,4
Q8TEW0,23,23
Q8TEX9,7,7
Q8TF42,20,21
Q8TF64,5,5
Q8WTU2,17,17
Q8WU76,9,9
Q8WU79,4,4
Q8WU90,4,4
Q8WUA8,9,10
Q8WUD1,4,4
Q8WUJ3,23,23
Q8WUM4,21,21
Q8WUW1,4,4
Q8WUY3,3,3
Q8WVJ2,4,4
Q8WVM8,19,19
Q8WVQ1,3,3
Q8WW12,3,3
Q8WW22,2,2
Q8WWA0,17,17
Q8WWA1,7,7
Q8WWI5,11,11
Q8WWM7,3,3
Q8WWV6,2,2
Q8WWZ8,18,18
Q8WXE9,19,20
Q8WXF7,17,17
Q8WXG6,18,18
Q8WXX5,6,6
Q8WYN0,4,4
Q8WZ42,17,17
Q8WZA0,6,6
Q92187,12,12
Q92496,5,5
Q92499,21,21
Q92520,7,7
Q92522,4,4
Q92530,3,3
Q92538,13,13
Q92539,11,11
Q92542,7,7
Q92544,7,7
Q92556,14,14
Q92558,5,5
Q92563,10,10
Q92572,5,5
Q92575,4,4
Q92598,16,16
Q92604,3,5
Q92608,13,14
Q92609,11,11
Q92614,46,47
Q92616,22,22
Q92619,33,34
Q92625,18,18
Q92626,12,11
Q92673,24,24
Q92688,3,3
Q92692,6,6
Q92696,10,10
Q92734,6,6
Q92743,11,11
Q92747,7,7
Q92783,7,7
Q92804,2,2
Q92820,6,6
Q92824,7,7
Q92835,19,19
Q92841,5,4
Q92882,6,6
Q92888,17,17
Q92890,8,8
Q92900,23,24
Q92902,5,5
Q92905,12,12
Q92930,3,3
Q92947,9,9
Q92954,27,27
Q92963,4,4
Q92973,15,15
Q92974,22,22
Q93008,60,62
Q93009,18,18
Q93034,16,16
Q93050,16,15
Q93052,13,13
Q93084,28,28
Q93091,3,3
Q969M7,3,3
Q969T9,5,5
Q969V3,8,8
Q969X0,4,4
Q969X5,6,6
Q969Z0,7,7
Q96A00,4,4
Q96A32,11,11
Q96A33,9,9
Q96A49,9,9
Q96A65,18,18
Q96AB3,3,3
Q96AG4,9,9
Q96AP7,8,8
Q96AQ6,7,7
Q96AT9,7,7
Q96AX1,8,8
Q96AX2,7,7
Q96B36,2,2
Q96BJ3,3,3
Q96BS2,7,7
Q96BY6,34,34
Q96C19,6,6
Q96C24,24,24
Q96CG8,2,2
Q96CN4,4,4
Q96CN7,6,6
Q96CS3,11,11
Q96CT7,4,4
Q96CV9,10,10
Q96CW1,13,13
Q96CW5,7,8
Q96CX2,3,3
Q96D15,9,9
Q96D71,9,9
Q96DH6,5,5
Q96DZ9,2,2
Q96E17,4,4
Q96EK6,4,4
Q96EP5,8,8
Q96FN4,9,10
Q96FW1,10,10
Q96G03,13,13
Q96G23,5,5
Q96GG9,5,5
Q96GK7,7,6
Q96GW7,3,3
Q96H79,6,6
Q96HC4,21,21
Q96HN2,6,6
Q96HS1,5,5
Q96HY6,4,4
Q96I82,5,5
Q96I99,7,7
Q96IJ6,11,11
Q96IU4,4,4
Q96IX5,2,2
Q96IY4,13,13
Q96J02,5,5
Q96J42,5,5
Q96JB5,10,10
Q96JC1,12,12
Q96JF0,2,2
Q96JG6,10,10
Q96JH7,12,11
Q96JJ7,8,8
Q96JQ0,5,5
Q96K17,2,2
Q96K21,2,2
Q96K37,5,5
Q96K49,5,5
Q96K76,36,36
Q96KG9,20,20
Q96KN2,25,25
Q96KP1,9,9
Q96KP4,26,26
Q96M27,4,4
Q96M96,8,8
Q96MK2,16,17
Q96MW1,4,4
Q96N67,18,18
Q96NZ9,7,7
Q96P48,35,35
Q96P70,9,9
Q96PC5,7,7
Q96PD5,14,14
Q96PU8,3,0
Q96Q05,9,9
Q96Q06,20,22
Q96QG7,3,3
Q96QK1,13,13
Q96QR1,3,3
Q96QR8,4,4
Q96QS1,7,7
Q96RD7,7,8
Q96RI0,5,5
Q96RL7,73,74
Q96RT1,22,22
Q96S59,7,7
Q96S96,7,7
Q96S97,5,5
Q96SB3,18,18
Q96SW2,5,5
Q96T51,23,23
Q96T76,9,9
Q96TC7,9,9
Q99417,5,5
Q99418,5,7
Q99426,5,5
Q99439,11,11
Q99460,25,25
Q99471,5,5
Q99490,6,6
Q99497,7,7
Q99501,12,12
Q99523,11,11
Q99536,8,8
Q99538,3,3
Q99542,17,17
Q99574,2,2
Q99614,5,5
Q99615,13,13
Q99623,11,11
Q99627,3,3
Q99674,5,5
Q99683,23,23
Q99685,14,14
Q99704,12,12
Q99714,12,12
Q99715,81,81
Q99719,13,13
Q99729,2,0
Q99733,14,14
Q99747,12,12
Q99767,4,4
Q99798,28,28
Q99805,10,10
Q99808,4,4
Q99816,8,8
Q99828,6,6
Q99829,7,7
Q99832,19,19
Q99873,10,10
Q99943,7,7
Q99961,8,8
Q99962,4,4
Q99969,5,5
Q99972,12,12
Q99983,8,8
Q99999,5,5
Q9BPX5,4,4
Q9BPX6,5,5
Q9BQ24,4,4
Q9BQA1,7,7
Q9BQA9,3,3
Q9BQB4,3,3
Q9BQE3,3,3
Q9BQQ3,2,2
Q9BR76,12,12
Q9BRA2,5,5
Q9BRG1,6,6
Q9BRK5,13,14
Q9BRP8,6,6
Q9BRX2,9,9
Q9BS26,11,11
Q9BSF0,4,4
Q9BSH5,4,4
Q9BSJ2,10,10
Q9BSJ8,29,29
Q9BSQ5,8,8
Q9BT22,2,2
Q9BT78,20,20
Q9BTE1,4,4
Q9BTV4,10,10
Q9BTW9,9,9
Q9BTY2,13,13
Q9BTZ2,3,3
Q9BU40,6,6
Q9BUD6,4,4
Q9BUF5,14,14
Q9BUL8,8,8
Q9BUN1,3,3
Q9BUP3,4,4
Q9BV20,7,7
Q9BV40,4,4
Q9BV57,4,4
Q9BV68,2,2
Q9BVK6,3,4
Q9BW04,9,10
Q9BW83,4,4
Q9BWD1,8,8
Q9BWM7,13,13
Q9BWP8,8,8
Q9BWS9,11,11
Q9BX10,13,13
Q9BX67,6,6
Q9BX68,6,6
Q9BX93,5,6
Q9BXB4,5,5
Q9BXD5,3,3
Q9BXJ1,6,6
Q9BXK5,8,8
Q9BXN1,18,18
Q9BXR6,17,17
Q9BXS4,6,6
Q9BXS5,13,13
Q9BXX0,10,9
Q9BY32,4,4
Q9BY43,8,8
Q9BY44,13,13
Q9BY76,7,7
Q9BYC5,18,18
Q9BYE9,17,17
Q9BYH1,5,5
Q9BYJ0,5,5
Q9BYV8,6,6
Q9BYZ8,5,5
Q9BZ67,3,3
Q9BZ72,22,22
Q9BZF1,15,15
Q9BZF9,25,26
Q9BZH6,22,22
Q9BZL4,12,14
Q9BZL6,8,8
Q9BZQ8,13,13
Q9BZV1,10,10
Q9C0B1,4,0
Q9C0C9,50,50
Q9C0E2,6,6
Q9C0E8,12,12
Q9C0I1,22,23
Q9GZM7,9,9
Q9GZN8,5,5
Q9GZP0,5,5
Q9GZP4,6,6
Q9GZS3,4,4
Q9GZT8,4,4
Q9GZY6,2,2
Q9GZY8,6,6
Q9GZZ1,2,2
Q9GZZ9,7,7
Q9H019,3,3
Q9H074,5,5
Q9H098,4,4
Q9H0B8,10,10
Q9H0E2,6,7
Q9H0P0,16,16
Q9H0R4,4,4
Q9H0U3,4,4
Q9H0U4,11,11
Q9H0X4,10,11
Q9H0Z9,6,6
Q9H159,10,9
Q9H173,5,5
Q9H1B5,13,13
Q9H1E3,3,0
Q9H1E5,4,4
Q9H1P3,8,8
Q9H1Y0,7,7
Q9H1Z4,5,5
Q9H1Z8,3,3
Q9H223,17,17
Q9H244,3,3
Q9H251,14,15
Q9H257,6,6
Q9H267,13,13
Q9H269,18,19
Q9H270,16,16
Q9H299,3,3
Q9H2D6,8,8
Q9H2G2,24,24
Q9H2J4,8,8
Q9H2K8,21,23
Q9H2M9,31,31
Q9H2U2,12,12
Q9H2X0,2,2
Q9H3G5,5,5
Q9H3K6,2,3
Q9H3N1,6,6
Q9H3P7,9,10
Q9H3U1,31,31
Q9H425,7,7
Q9H444,8,8
Q9H446,4,4
Q9H479,10,10
Q9H4A3,14,15
Q9H4A4,20,19
Q9H4A6,5,5
Q9H4B6,9,9
Q9H4B7,27,27
Q9H4E7,3,3
Q9H4F8,20,18
Q9H4G4,5,5
Q9H4L5,14,14
Q9H4M9,20,20
Q9H4X1,5,5
Q9H5X1,6,6
Q9H6Q3,7,7
Q9H6S0,10,10
Q9H7C9,3,3
Q9H7D0,32,32
Q9H7D7,12,12
Q9H7J1,5,5
Q9H832,6,7
Q9H845,7,7
Q9H8H3,7,7
Q9H8L6,7,7
Q9H8W4,12,12
Q9H8Y8,4,4
Q9H910,5,5
Q9H939,16,16
Q9H9A6,9,9
Q9H9B4,9,10
Q9H9C1,9,9
Q9H9H4,5,5
Q9H9P8,6,6
Q9H9Q2,7,7
Q9HA64,6,5
Q9HAT2,7,8
Q9HAU5,10,10
Q9HAV0,6,6
Q9HB07,10,10
Q9HB40,7,7
Q9HB71,8,8
Q9HB90,3,3
Q9HBF4,5,5
Q9HBH0,8,8
Q9HBI0,6,6
Q9HBI1,16,16
Q9HBL0,19,20
Q9HC35,17,17
Q9HCB6,11,11
Q9HCC0,10,10
Q9HCG7,6,6
Q9HCL0,8,8
Q9HCM2,39,40
Q9HCN6,5,5
Q9HCU0,10,10
Q9HCU5,8,8
Q9HD20,23,24
Q9HD26,7,7
Q9HD42,2,2
Q9HD45,11,11
Q9HDC9,18,18
Q9NNX6,6,6
Q9NP55,5,5
Q9NP58,11,11
Q9NP72,10,10
Q9NP79,6,6
Q9NPA2,3,3
Q9NPB8,10,10
Q9NPG4,13,13
Q9NPJ3,3,3
Q9NPQ8,14,14
Q9NPY3,6,6
Q9NQ30,5,5
Q9NQ38,14,15
Q9NQ75,33,34
Q9NQ79,27,27
Q9NQC3,7,7
Q9NQG7,5,5
Q9NQT8,35,35
Q9NQW7,23,24
Q9NR09,13,13
Q9NR12,16,16
Q9NR28,4,4
Q9NR31,10,10
Q9NR45,11,11
Q9NR46,6,6
Q9NR50,11,11
Q9NR56,3,3
Q9NR99,47,47
Q9NRA1,7,7
Q9NRB3,5,5
Q9NRF8,11,11
Q9NRG1,2,2
Q9NRL3,14,14
Q9NRR1,2,2
Q9NRW1,5,5
Q9NRW3,6,6
Q9NRW4,5,5
Q9NRW7,13,14
Q9NRX4,2,2
Q9NRY5,17,17
Q9NS15,19,19
Q9NS28,7,7
Q9NS69,3,3
Q9NS86,6,6
Q9NSD9,12,12
Q9NSE4,21,21
Q9NSY1,4,4
Q9NT62,8,8
Q9NTJ5,25,25
Q9NTK5,12,12
Q9NUB1,15,15
Q9NUJ1,10,10
Q9NUQ9,7,7
Q9NUU7;Q9UMR2,7,7
Q9NUY8,11,11
Q9NV70,14,14
Q9NV96,5,5
Q9NVA2,13,13
Q9NVE7,9,8
Q9NVG8,10,10
Q9NVH1,6,6
Q9NVI7,12,13
Q9NVJ2,9,9
Q9NVK5,7,7
Q9NVT9,5,5
Q9NVV5,3,3
Q9NW15,7,8
Q9NW68,6,6
Q9NWV4,7,7
Q9NWV8,5,5
Q9NWZ3,8,8
Q9NX46,7,7
Q9NX63,7,7
Q9NXH8,14,14
Q9NXR7,7,7
Q9NXU5,5,5
Q9NY33,19,18
Q9NY65,12,12
Q9NYB9,8,8
Q9NYL9,17,17
Q9NYQ6,11,11
Q9NYQ8,11,10
Q9NYU2,39,39
Q9NZ01,5,5
Q9NZ08,24,24
Q9NZ09,4,4
Q9NZ32,8,8
Q9NZ53,5,5
Q9NZB2,18,18
Q9NZJ7,9,9
Q9NZK5,9,9
Q9NZL9,4,4
Q9NZM3,21,21
Q9NZN3,35,36
Q9NZN4,5,5
Q9NZN5,20,20
Q9NZP8,3,3
Q9NZQ3,12,13
Q9NZZ3,3,3
Q9P035,7,8
Q9P0I2,8,8
Q9P0J0,7,7
Q9P0J1,8,8
Q9P0J7,5,5
Q9P0L0,6,6
Q9P0S9,4,4
Q9P107,9,9
Q9P126,9,9
Q9P1Z2,20,19
Q9P253,12,12
Q9P260,21,20
Q9P265,7,7
Q9P270,16,16
Q9P289,7,7
Q9P2D3,17,17
Q9P2E9,22,22
Q9P2J5,23,23
Q9P2R7,10,10
Q9UBC2,29,29
Q9UBF2,21,21
Q9UBI1,3,3
Q9UBM7,5,5
Q9UBN7,18,18
Q9UBP0,3,0
Q9UBP4,15,15
Q9UBQ0,6,6
Q9UBQ5,4,4
Q9UBQ7,11,11
Q9UBR1,4,4
Q9UBS3,6,6
Q9UBS4,11,11
Q9UBU3,3,3
Q9UBV2,6,6
Q9UBV8,3,3
Q9UBW5,22,22
Q9UBW8,8,8
Q9UBX5,15,15
Q9UDT6,26,27
Q9UDY2,33,34
Q9UEU0,5,5
Q9UEW3,5,6
Q9UEW8,11,11
Q9UEY8,16,16
Q9UFN0,14,14
Q9UGM3,2,0
Q9UGM5,7,7
Q9UGP4,9,9
Q9UGP8,5,5
Q9UGT4,2,2
Q9UH62,10,10
Q9UHA4,3,3
Q9UHB6,18,18
Q9UHD1,6,6
Q9UHD2,9,9
Q9UHD8,11,12
Q9UHD9,2,3
Q9UHF0,5,5
Q9UHG2,5,5
Q9UHG3,13,13
Q9UHI8,4,4
Q9UHQ4,5,6
Q9UHQ9,11,11
Q9UHV9,3,3
Q9UHY1,8,8
Q9UHY7,11,11
Q9UI10,10,10
Q9UI12,7,7
Q9UI26,4,4
Q9UIA9,20,21
Q9UIB8,9,9
Q9UIC8,4,4
Q9UID3,13,14
Q9UIJ7,11,11
Q9UIQ6,15,15
Q9UJ68,4,4
Q9UJ70,8,8
Q9UJC5,5,5
Q9UJJ9,2,2
Q9UJS0,12,12
Q9UJU6,20,20
Q9UJW0,13,13
Q9UJX2,4,4
Q9UJX3,7,7
Q9UJZ1,9,9
Q9UK05,7,7
Q9UK41,4,4
Q9UK55,26,27
Q9UKE5,23,23
Q9UKG1,15,15
Q9UKK9,6,6
Q9UKM7,2,2
Q9UKM9,3,0
Q9UKP3,5,5
Q9UKR5,3,3
Q9UKT5,3,3
Q9UKU9,9,9
Q9UKV3,6,6
