PG.ProteinGroups,HYE mix A,HYE mix B
P0AAZ4,4,4
P0AAZ7,3,3
P0AB10,4,5
P0AB14,2,3
P0AB18,3,3
P0AB24,13,15
P0AB26,5,5
P0AB28,5,6
P0AB38,5,5
P0AB43,2,3
P0AB52,5,5
P0AB55,2,3
P0AB61,3,3
P0AB67,6,8
P0AB71,12,13
P0AB77,16,16
P0AB80,5,5
P0AB89,20,20
P0AB91,9,9
P0ABA0,9,9
P0ABA4,8,8
P0ABA6,19,19
P0ABB0,27,27
P0ABB4,27,27
P0ABB8,8,9
P0ABC3,14,14
P0ABC7,20,20
P0ABD3,10,10
P0ABD5,19,19
P0ABD8,6,6
P0ABE2,2,2
P0ABF1,11,12
P0ABF6,8,8
P0ABH0,9,10
P0ABH7,19,19
P0ABH9,26,28
P0ABI4,5,6
P0ABI8,7,8
P0ABJ1,8,9
P0ABJ9,9,9
P0ABK5,16,17
P0ABN5,2,2
P0ABP8,14,15
P0ABQ0,3,4
P0ABQ2,18,18
P0ABQ4,4,5
P0ABS1,6,6
P0ABS8,2,3
P0ABT2,9,10
P0ABU0,8,8
P0ABU2,14,14
P0ABU5,7,7
P0ABU7,4,4
P0ABU9,5,5
P0ABV2,4,4
P0ABV6,2,2
P0ABW9,3,3
P0ABX2,6,7
P0ABX5,6,6
P0ABX8,6,6
P0ABY4,2,2
P0ABZ1,11,11
P0ABZ4,4,5
P0ABZ6,17,17
P0AC02,12,12
P0AC13,6,6
P0AC16,4,4
P0AC19,4,4
P0AC33,34,34
P0AC38,18,18
P0AC41,25,26
P0AC44,2,2
P0AC47,7,7
P0AC53,20,21
P0AC59,5,6
P0AC62,5,5
P0AC69,4,4
P0AC81,3,3
P0AC84,3,3
P0AC86,5,7
P0ACA1,4,5
P0ACA3,11,11
P0ACA7,10,10
P0ACB0,17,17
P0ACB2,5,7
P0ACB4,2,4
P0ACB7,10,11
P0ACC3,5,5
P0ACC7,12,14
P0ACD4,8,8
P0ACE0,6,7
P0ACE3,3,3
P0ACE7,5,5
P0ACF0,5,5
P0ACF4,5,5
P0ACF8,8,8
P0ACG1,9,9
P0ACI0,7,8
P0ACJ0,9,9
P0ACJ8,11,11
P0ACK8,4,4
P0ACL2,2,4
P0ACL9,5,5
P0ACM2,3,3
P0ACN4,3,3
P0ACN7,3,5
P0ACP1,7,8
P0ACP7,8,11
P0ACQ4,9,10
P0ACR9,3,3
P0ACS7,5,5
P0ACT6,4,4
P0ACU5,4,4
P0ACU7,7,8
P0ACX3,3,3
P0ACY1,7,7
P0ACY3,9,14
P0ACY9,3,3
P0AD05,4,4
P0AD10,4,4
P0AD12,4,5
P0AD24,3,4
P0AD33,3,3
P0AD37,2,3
P0AD49,5,5
P0AD57,3,3
P0AD59,5,6
P0AD61,24,24
P0AD70,3,5
P0ADA1,3,6
P0ADA3,6,6
P0ADA5,6,6
P0ADB1,4,4
P0ADC1,9,9
P0ADE6,7,7
P0ADE8,15,16
P0ADG4,16,16
P0ADG7,17,17
P0ADI7,3,4
P0ADK0,7,7
P0ADK8,4,4
P0ADN2,7,7
P0ADN6,3,3
P0ADP0,5,5
P0ADP9,5,5
P0ADQ2,2,4
P0ADR8,17,17
P0ADS2,3,4
P0ADS6,10,10
P0ADS9,8,9
P0ADT2,3,3
P0ADT5,12,12
P0ADT8,8,8
P0ADU2,2,3
P0ADU5,5,5
P0ADV1,4,4
P0ADV7,10,10
P0ADV9,3,3
P0ADW3,8,8
P0ADW8,2,2
P0ADX1,2,3
P0ADY1,32,33
P0ADY3,6,6
P0ADY7,5,5
P0ADZ0,3,3
P0ADZ4,5,5
P0ADZ7,3,3
P0AE01,6,6
P0AE06,16,16
P0AE08,12,12
P0AE12,5,7
P0AE18,10,10
P0AE22,5,5
P0AE48,2,3
P0AE52,9,9
P0AE67,6,6
P0AE78,6,7
P0AE82,2,3
P0AE88,5,6
P0AE91,4,6
P0AEA8,2,4
P0AEB2,19,21
P0AEB7,4,4
P0AEC3,6,8
P0AED0,4,4
P0AED5,4,4
P0AED7,8,8
P0AEE1,10,10
P0AEE5,21,21
P0AEF8,2,2
P0AEG4,9,9
P0AEG6,4,5
P0AEH5,2,2
P0AEI1,21,21
P0AEI4,11,13
P0AEK2,10,10
P0AEK4,14,14
P0AEL6,2,2
P0AEM0,4,4
P0AEM4,5,5
P0AEM6,12,13
P0AEM9,12,13
P0AEN1,10,10
P0AEP3,12,12
P0AEQ1,4,5
P0AEQ3,13,13
P0AEQ6,3,3
P0AES0,3,7
P0AES2,9,9
P0AES4,30,31
P0AES6,27,28
P0AET8,5,6
P0AEU0,13,15
P0AEU7,6,6
P0AEW4,2,2
P0AEW6,6,6
P0AEW9,4,4
P0AEX3,3,3
P0AEX9,28,28
P0AEY5,8,8
P0AEZ3,12,12
P0AEZ9,8,8
P0AF03,5,5
P0AF06,11,14
P0AF08,7,7
P0AF12,5,5
P0AF18,5,8
P0AF20,8,8
P0AF24,9,9
P0AF28,5,5
P0AF36,6,6
P0AF63,4,6
P0AF67,4,4
P0AF70,3,3
P0AF90,4,4
P0AF93,4,4
P0AF96,4,4
P0AFA7,3,3
P0AFB1,5,7
P0AFB8,2,3
P0AFC3,3,3
P0AFC7,10,10
P0AFD1,7,7
P0AFD4,3,3
P0AFD6,9,9
P0AFE4,2,2
P0AFF2,3,3
P0AFF6,27,28
P0AFG0,10,10
P0AFG3,36,37
P0AFG6,18,18
P0AFG8,46,46
P0AFH2,4,4
P0AFH8,6,6
P0AFI2,9,13
P0AFI7,8,9
P0AFJ1,3,3
P0AFJ7,3,3
P0AFK0,19,19
P0AFK9,15,15
P0AFL3,5,5
P0AFL6,11,13
P0AFM2,2,3
P0AFM6,9,9
P0AFP4,4,4
P0AFP6,5,5
P0AFQ7,4,6
P0AFR4,6,6
P0AFT5,4,5
P0AFU8,7,7
P0AFW4,4,4
P0AFW8,2,2
P0AFX0,3,3
P0AFX7,5,6
P0AFX9,5,6
P0AFY8,9,9
P0AFZ1,3,3
P0AFZ3,4,4
P0AG00,9,10
P0AG07,7,8
P0AG14,9,9
P0AG20,3,4
P0AG24,2,3
P0AG27,6,6
P0AG30,24,24
P0AG44,5,5
P0AG48,3,3
P0AG51,4,4
P0AG55,10,10
P0AG59,5,5
P0AG63,2,2
P0AG67,38,38
P0AG80,19,19
P0AG82,10,13
P0AG86,6,6
P0AG90,22,22
P0AG93,5,5
P0AG99,2,2
P0AGA2,7,7
P0AGB0,5,5
P0AGB6,8,8
P0AGC3,5,9
P0AGD3,8,9
P0AGD7,20,20
P0AGE0,5,5
P0AGE6,5,6
P0AGE9,17,18
P0AGF2,5,7
P0AGG2,4,4
P0AGG4,3,4
P0AGG8,13,14
P0AGJ5,11,11
P0AGJ9,14,14
P0AGK4,3,3
P0AGK8,6,6
P0AGL7,7,7
P0C018,4,4
P0C037,3,3
P0C054,5,5
P0C058,5,5
P0C079,3,3
P0C093,4,6
P0C0L2,4,5
P0C0L7,3,3
P0C0L9,2,2
P0C0R7,6,6
P0C0S1,4,4
P0C0S5;Q71UI9,3,3
P0C0S8;Q93077;Q96KK5;Q99878;Q9BTM1,8,8
P0C0T4;Q3E792,3,3
P0C0V0,20,20
P0C0V8,7,7
P0C0W1;Q3E7Y3,6,6
P0C0W9;Q3E757,6,6
P0C0X0;Q3E7X9,3,3
P0C2H6;P0C2H7,6,6
P0C2H9,7,7
P0C2I9,42,40
P0C2W1,2,2
P0C5N3,3,3
P0C8J6,14,14
P0C8J8,16,16
P0C960,3,3
P0CE47;P0CE48,22,22
P0CF66;P0CF67;P0CF68;P0CF69;P0CF70;P0CF71;P0CF72,3,3
P0CG29;P0CG30,4,4
P0CG38,4,4
P0CS90,28,28
P0CT04,4,4
P0CX23;P0CX24,8,8
P0CX25;P0CX26,4,4
P0CX27;P0CX28,2,2
P0CX29;P0CX30,6,6
P0CX31;P0CX32,4,4
P0CX33;P0CX34,4,4
P0CX35;P0CX36,18,18
P0CX37;P0CX38,10,10
P0CX39;P0CX40,5,5
P0CX41;P0CX42,5,5
P0CX43;P0CX44,8,8
P0CX45;P0CX46,10,10
P0CX47;P0CX48,9,9
P0CX49;P0CX50,8,8
P0CX51;P0CX52,7,7
P0CX53;P0CX54,8,8
P0CX55;P0CX56,8,8
P0CX82;P0CX83,8,8
P0CX84;P0CX85,6,6
P0DI83,4,4
P0DMC7,9,9
P0DME0,6,6
P0DMM9;P0DMN0,8,8
P0DMV8;P0DMV9,29,29
P0DN76;Q01081,8,8
P0DN79;P35520,15,15
P0DP23;P0DP24;P0DP25,11,11
P0DPB6,3,3
P0DPD7,2,2
P0DTT0,23,25
P10026,5,5
P10030,4,3
P10080,13,13
P10081,21,20
P10100,6,6
P10109,2,2
P10121,15,15
P10155,16,15
P10253,4,4
P10301,4,4
P10321,4,4
P10346,5,5
P10371,2,2
P10384,7,7
P10398,11,11
P10408,39,40
P10412,7,7
P10507,8,8
P10515,16,16
P10586,31,31
P10588,5,5
P10589;P24468,3,3
P10591,11,11
P10592,31,31
P10599,8,8
P10606,6,6
P10614,7,7
P10619,9,9
P10620,4,4
P10622,2,2
P10644,12,12
P10659,19,19
P10662,6,5
P10664,15,15
P10768,12,12
P10809,40,40
P10823,3,2
P10849,7,7
P10869,9,9
P10907,3,3
P10908,7,7
P10909,11,11
P10961,12,12
P10962,4,4
P10963,24,24
P10964,6,6
P11021,27,27
P11047,38,38
P11075,29,28
P11076,9,9
P11117,12,12
P11137,7,7
P11142,28,28
P11154,10,10
P11166,7,7
P11171,12,12
P11172,22,22
P11177,13,13
P11182,11,12
P11216,21,21
P11233,2,2
P11234,7,7
P11274,19,18
P11279,5,7
P11310,16,16
P11325,2,2
P11353,9,9
P11387,29,29
P11388,58,58
P11412,24,24
P11413,30,30
P11433,7,7
P11441,6,6
P11484,32,31
P11491,7,7
P11498,31,31
P11532,8,9
P11557,8,8
P11586,41,41
P11632,3,3
P11633,2,2
P11717,58,58
P11745,17,17
P11766,11,11
P11792,7,6
P11802,9,9
P11875,22,23
P11880,3,5
P11908,5,5
P11914,13,13
P11938,18,18
P11940,30,30
P11986,10,10
P12004,13,13
P12008,4,5
P12036,4,4
P12081,21,21
P12235,7,7
P12236,2,2
P12259,10,10
P12268,25,25
P12270,74,74
P12277,16,16
P12281,6,8
P12282,3,3
P12385,19,19
P12429,20,20
P12611,3,3
P12612,18,18
P12683,14,14
P12686,8,7
P12687,7,7
P12688,15,14
P12694,11,11
P12695,12,12
P12709,22,22
P12753,3,3
P12754,7,7
P12758,9,9
P12814,53,53
P12904,4,4
P12945,19,19
P12955,8,8
P12956,34,34
P12962,2,2
P13009,14,19
P13010,39,39
P13024,9,11
P13029,32,33
P13035,29,29
P13036,25,25
P13051,6,6
P13073,6,6
P13185,4,4
P13186,4,3
P13188,32,31
P13259,6,6
P13298,11,10
P13393,2,2
P13445,6,7
P13473,5,5
P13482,11,12
P13489,17,17
P13517,8,7
P13533,4,4
P13586,10,10
P13639,51,51
P13645,26,26
P13646,2,2
P13647,15,14
P13663,16,16
P13667,34,35
P13674,15,15
P13693,11,11
P13712,2,0
P13716,6,6
P13717,4,4
P13726,6,6
P13797,35,34
P13798,19,19
P13804,15,15
P13807,14,14
P13856,4,4
P13861,17,17
P13929,9,9
P13979,8,8
P13984,13,13
P13987,4,4
P13995,9,9
P14020,13,13
P14063,2,2
P14065,8,7
P14081,6,8
P14120,4,4
P14126,16,16
P14164,11,11
P14174,4,5
P14209,3,3
P14306,6,6
P14314,20,21
P14324,10,10
P14373,2,2
P14406,2,2
P14540,19,19
P14550,15,15
P14618,39,39
P14621,5,5
P14625,47,47
P14635,8,8
P14649,9,9
P14678;P63162,7,7
P14682,2,2
P14735,34,34
P14741,2,2
P14742,25,25
P14743,10,10
P14747,6,5
P14832,7,7
P14843,14,14
P14854,5,5
P14859,7,7
P14866,22,22
P14868,35,35
P14900,9,10
P14904,15,15
P14906,12,12
P14907,34,34
P14908,2,0
P14922,20,19
P14923,34,35
P14927,7,7
P15019,15,15
P15028,5,5
P15031,3,4
P15034,10,11
P15042,12,16
P15070,3,3
P15078,5,5
P15104,4,4
P15108,12,12
P15121,19,19
P15144,26,26
P15151,4,4
P15153,2,2
P15170,22,22
P15180,26,26
P15202,4,4
P15254,4,5
P15274,21,21
P15288,19,19
P15291,11,11
P15303,24,24
P15311,24,24
P15328,8,8
P15367,3,3
P15374,9,9
P15408,3,3
P15424,22,22
P15436,2,2
P15454,10,10
P15496,12,12
P15529,6,6
P15531,7,7
P15559,11,11
P15565,11,11
P15586,12,12
P15624,22,22
P15625,28,28
P15639,4,7
P15646,12,11
P15700,9,9
P15703,10,10
P15705,33,33
P15731,2,2
P15735,4,4
P15770,3,3
P15790,4,4
P15848,5,5
P15873,11,11
P15877,7,10
P15880,15,15
P15891,23,23
P15923,5,5
P15924,98,99
P15927,6,6
P15941,2,2
P15977,16,17
P15992,14,14
P16035,2,2
P16070,8,8
P16083,9,9
P16095,10,10
P16120,27,27
P16140,31,31
P16144,34,34
P16152,14,14
P16219,2,2
P16220,3,3
P16278,13,13
P16298,2,2
P16333,8,8
P16370,7,7
P16383,3,3
P16387,21,21
P16401,6,6
P16435,19,19
P16451,15,15
P16455,4,4
P16456,11,11
P16467,4,4
P16474,26,26
P16521,54,54
P16547,22,22
P16550,15,15
P16591,3,3
P16603,16,16
P16615,42,42
P16622,10,10
P16649,19,19
P16659,26,26
P16661,2,2
P16703,3,3
P16861,41,41
P16862,31,31
P16892,3,2
P16926,4,7
P16930,8,8
P16949,9,9
P16965,2,2
P16989,12,12
P17028,5,5
P17050,2,2
P17065,3,3
P17076,13,13
P17096,5,5
P17106,10,10
P17115,5,7
P17117,5,5
P17121,2,0
P17152,4,4
P17157,3,3
P17169,22,22
P17174,19,19
P17252,18,18
P17255,45,44
P17275,7,7
P17301,22,22
P17302,4,4
P17315,4,5
P17342,12,12
P17405,7,7
P17423,11,11
P17443,6,6
P17480,19,19
P17505,18,18
P17536,13,13
P17544,4,4
P17555,20,20
P17558,5,5
P17568,3,3
P17612,5,5
P17629,4,4
P17649,15,15
P17655,32,32
P17695,9,9
P17706,8,8
P17709,19,19
P17812,25,26
P17813,7,7
P17844,31,31
P17858,14,14
P17883,9,8
P17890,3,3
P17891,14,14
P17900,4,4
P17931,8,8
P17952,11,11
P17967,20,20
P17980,23,23
P17987,33,33
P17993,10,10
P18031,18,18
P18074,13,13
P18077,4,4
P18084,9,10
P18085,7,7
P18124,14,14
P18133,3,7
P18206,60,60
P18239,16,16
P18390,3,3
P18409,2,0
P18440,4,4
P18480,2,2
P18544,7,7
P18562,10,10
P18583,47,47
P18615,10,10
P18621,7,7
P18669,15,15
P18754,17,17
P18759,24,24
P18827,2,2
P18843,14,15
P18850,6,6
P18851,3,3
P18858,23,22
P18859,5,5
P18887,11,11
P18899,16,16
P18900,5,3
P18962,8,8
P19022,17,17
P19073,3,3
P19097,80,79
P19146,2,2
P19174,18,19
P19256,3,3
P19262,11,11
P19338,21,21
P19358,11,11
P19367,34,34
P19387,9,9
P19388,10,10
P19404,7,7
P19414,36,36
P19447,11,11
P19454,8,8
P19484,5,5
P19516,2,0
P19524,35,35
P19525,17,17
P19623,14,14
P19624,2,2
P19784,12,12
P19793,7,7
P19838,10,10
P19880,3,3
P19881,7,6
P19882,31,31
P19926,15,16
P19955,6,6
P19956,2,2
P19971,5,5
P20020,27,27
P20042,24,24
P20049,9,9
P20051,9,9
P20073,19,19
P20081,7,7
P20083,13,17
P20107,3,3
P20226;Q6SJ96,2,2
P20290,7,7
P20338,6,6
P20339,8,8
P20340,12,12
P20424,11,10
P20433,5,5
P20434,6,6
P20435,3,3
P20436,5,5
P20447,14,14
P20448,19,18
P20449,18,18
P20459,14,13
P20484,8,7
P20485,9,9
P20585,20,20
P20604,5,5
P20606,12,12
P20618,13,13
P20645,6,6
P20674,6,6
P20676,9,9
P20700,34,34
P20810,25,25
P20839,15,15
P20840,4,4
P20908,41,41
P20933,2,2
P20936,14,15
P20962,2,2
P20966,2,2
P20967,29,28
P21127;Q9UQ88,22,22
P21147,10,10
P21151,9,10
P21165,17,17
P21170,17,17
P21177,15,16
P21179,9,12
P21182,7,7
P21242,10,10
P21243,12,12
P21264,23,23
P21266,16,16
P21269,5,5
P21281,23,23
P21283,15,15
P21291,11,11
P21304,16,16
P21306,3,3
P21333,122,122
P21338,4,7
P21359,18,18
P21367,4,5
P21373,7,7
P21375,12,11
P21397,2,2
P21399,30,30
P21420,3,3
P21507,13,14
P21513,37,39
P21524,23,22
P21538,14,14
P21560,6,6
P21576,31,31
P21580,3,3
P21589,9,9
P21599,22,22
P21645,6,6
P21734,8,8
P21771,4,4
P21796,16,16
P21801,12,12
P21825,3,3
P21827,4,4
P21829,4,4
P21888,21,21
P21889,32,34
P21912,10,10
P21926,3,3
P21953,3,3
P21954,25,25
P21964,10,10
P21965,10,10
P21980,21,22
P22023,3,3
P22033,10,10
P22059,17,17
P22061,9,9
P22082,3,3
P22087,14,14
P22102,43,43
P22106,15,17
P22133,7,7
P22135,5,5
P22137,47,47
P22138,9,7
P22139,2,2
P22141,5,5
P22146,11,11
P22147,32,32
P22188,13,15
P22202,32,32
P22203,12,12
P22204,3,3
P22211,6,6
P22213,20,19
P22214,3,3
P22217,4,4
P22223,2,2
P22224,5,5
P22234,16,16
P22255,7,7
P22256,13,14
P22259,25,26
P22276,8,8
P22307,15,15
P22314,41,41
P22333,9,11
P22336,21,21
P22353,4,4
P22354,4,4
P22392,14,14
P22434,2,0
P22470,3,3
P22515,43,43
P22517,11,11
P22523,39,43
P22524,8,9
P22564,5,5
P22570,10,10
P22579,14,13
P22626,19,19
P22634,2,5
P22670,7,7
P22681,5,5
P22694,12,12
P22695,14,15
P22696,8,8
P22768,18,18
P22803,7,7
P22804,4,4
P22830,8,8
P22855,13,12
P22936,11,11
P22939,7,7
P22943,5,5
P23003,2,4
P23142,9,9
P23180,12,12
P23193,14,14
P23201,27,27
P23202,7,7
P23229,27,27
P23246,30,30
P23248,16,16
P23254,32,32
P23258,17,17
P23284,12,12
P23287,7,7
P23291,8,7
P23292,9,8
P23301,14,14
P23331,6,7
P23337,5,5
P23368,16,16
P23381,22,22
P23396,16,16
P23434,4,4
P23443,4,4
P23458,8,9
P23468,10,11
P23497,12,12
P23511,2,2
P23522,7,7
P23524,4,4
P23526,19,19
P23528,17,17
P23538,28,28
P23542,20,20
P23588,23,23
P23594,3,3
P23595,3,3
P23615,38,37
P23634,12,12
P23638,13,13
P23639,8,8
P23641,16,16
P23642,6,6
P23643,2,0
P23644,10,10
P23721,12,12
P23724,7,7
P23743,11,11
P23776,12,13
P23786,21,20
P23827,8,8
P23830,14,14
P23833,4,3
P23836,11,11
P23839,12,13
P23843,31,32
P23847,24,24
P23857,3,3
P23865,23,23
P23869,6,7
P23871,3,3
P23882,9,11
P23886,3,3
P23893,13,13
P23894,5,6
P23908,3,3
P23909,17,19
P23917,6,7
P23919,14,14
P23921,32,32
P24031,5,5
P24171,15,17
P24178,5,5
P24182,18,19
P24186,4,6
P24202,6,8
P24203,7,7
P24205,5,5
P24215,16,17
P24216,6,7
P24228,5,6
P24232,6,6
P24251,6,6
P24255,4,7
P24276,19,19
P24279,13,11
P24280,17,17
P24386,7,7
P24390,3,3
P24521,9,8
P24534,10,10
P24539,11,11
P24583,5,4
P24666,7,7
P24752,15,15
P24783,20,20
P24844,5,5
P24928,39,39
P24941,13,13
P25037,9,9
P25039,12,12
P25040,9,9
P25043,3,3
P25044,4,3
P25045,7,7
P25054,8,8
P25087,16,16
P25098,6,6
P25106,3,3
P25205,39,39
P25293,16,16
P25294,18,18
P25296,6,6
P25298,5,3
P25299,3,3
P25303,7,7
P25311,2,0
P25325,10,10
P25332,5,5
P25339,5,5
P25340,3,3
P25342,7,7
P25343,13,13
P25344,2,0
P25349,8,8
P25359,3,3
P25361,3,3
P25365,4,4
P25367,5,5
P25369,4,4
P25371,5,5
P25372,5,5
P25373,7,7
P25374,9,9
P25375,18,18
P25382,4,4
P25385,6,6
P25386,23,23
P25397,6,8
P25398,6,6
P25437,8,9
P25440,7,7
P25441,5,5
P25443,10,10
P25445,3,3
P25451,3,3
P25490,7,7
P25491,16,16
P25516,17,21
P25519,10,13
P25522,8,10
P25524,4,5
P25526,14,14
P25535,3,4
P25539,3,4
P25553,26,27
P25555,9,8
P25558,6,6
P25566,2,2
P25567,15,15
P25573,4,4
P25574,8,8
P25580,4,4
P25582,10,10
P25586,5,5
P25588,9,8
P25605,9,9
P25617,10,9
P25619,4,4
P25623,22,22
P25631,10,10
P25632,6,5
P25635,12,12
P25642,3,3
P25644,7,7
P25651,3,3
P25654,4,4
P25655,19,19
P25665,3,3
P25685,17,17
P25686,5,5
P25694,45,45
P25705,30,30
P25714,11,11
P25719,9,9
P25738,4,4
P25745,10,11
P25786,12,12
P25787,12,12
P25788,7,7
P25789,12,12
P25798,19,19
P25815,3,3
P25847,2,2
P25894,8,8
P25906,7,7
P26006,17,17
P26038,29,28
P26196,20,19
P26321,12,12
P26358,47,48
P26365,3,4
P26368,13,13
P26373,5,5
P26374,3,3
P26440,13,13
P26447,3,3
P26570,5,5
P26572,3,3
P26583,4,4
P26599,23,23
P26608,4,5
P26616,22,22
P26637,42,42
P26639,36,36
P26640,47,47
P26641,28,28
P26646,8,10
P26647,3,3
P26754,3,3
P26755,2,2
P26783,11,11
P26784,5,5
P26785,9,9
P26786,6,6
P26885,4,4
P27105,12,12
P27144,9,9
P27242,4,6
P27248,14,14
P27278,3,4
P27298,27,27
P27302,21,23
P27303,8,9
P27306,22,22
P27338,4,4
P27348,12,12
P27361,6,6
P27431,7,7
P27434,10,10
P27448,9,10
P27472,6,6
P27476,20,20
P27514,3,3
P27540,5,5
P27550,27,28
P27614,15,15
P27616,19,19
P27635,10,10
P27637,13,13
P27692,28,27
P27694,29,29
P27695,16,17
P27697,3,3
P27701,3,3
P27705,3,3
P27707,8,8
P27708,67,67
P27796,4,4
P27797,28,28
P27809,8,8
P27810,5,5
P27816,45,46
P27824,35,35
P27828,8,8
P27829,6,6
P27830,6,6
P27833,4,4
P27836,6,8
P27838,4,4
P27848,6,6
P27882,5,5
P27929,7,7
P27986,2,2
P27999,2,2
P28000,6,6
P28007,4,4
P28062,6,6
P28066,10,10
P28070,9,9
P28072,5,5
P28074,13,13
P28240,18,18
P28241,12,12
P28248,4,4
P28249,2,4
P28263,5,5
P28272,13,13
P28273,10,10
P28274,20,20
P28288,21,21
P28290,23,23
P28300,2,2
P28319,5,4
P28321,6,6
P28331,27,27
P28340,35,35
P28347,4,4
P28370,34,34
P28482,16,16
P28495,8,8
P28625,6,6
P28635,13,14
P28702,4,4
P28707,6,6
P28715,9,9
P28777,13,13
P28789,6,6
P28799,2,2
P28817,2,2
P28834,16,16
P28838,25,25
P28861,3,5
P28903,6,9
P28904,20,21
P29012,11,11
P29034,2,2
P29055,3,3
P29083,9,9
P29084,8,8
P29131,9,9
P29144,43,43
P29208,2,2
P29217,8,10
P29218,7,7
P29279,6,6
P29295,6,6
P29311,12,12
P29317,21,21
P29323,11,11
P29353,14,14
P29366,5,5
P29372,8,8
P29401,31,32
P29453,2,2
P29468,9,9
P29469,7,7
P29478,6,6
P29496,12,10
P29509,12,12
P29547,12,12
P29558,2,2
P29590,15,15
P29680,4,5
P29692,14,14
P29704,13,13
P29744,11,12
P29745,5,6
P29952,13,13
P29966,14,14
P29992,15,15
P30011,7,8
P30014,2,3
P30040,12,12
P30041,19,19
P30043,9,9
P30044,9,9
P30046,7,7
P30048,8,8
P30049,5,5
P30050,6,6
P30084,14,14
P30085,11,11
P30086,12,12
P30101,31,31
P30153,28,28
P30154,14,14
P30177,11,11
P30260,12,12
P30305,2,2
P30405,6,6
P30414,5,6
P30419,16,16
P30519,13,13
P30520,17,17
P30530,17,17
P30533,12,12
P30536,3,3
P30566,15,15
P30619,2,0
P30622,40,40
P30624,25,25
P30626,10,10
P30656,6,6
P30657,6,6
P30665,12,10
P30740,14,14
P30744,10,10
P30748,3,3
P30749,4,4
P30771,12,10
P30822,30,30
P30825,6,6
P30837,18,18
P30838,13,13
P30850,18,20
P30859,11,11
P30860,3,4
P30863,4,6
P30871,7,9
P30876,36,36
P30902,7,7
P30952,21,21
P30958,12,15
P31040,25,25
P31057,5,6
P31063,7,7
P31064,3,3
P31068,9,9
P31116,19,19
P31120,19,20
P31133,4,5
P31142,10,10
P31150,14,14
P31153,12,12
P31224,13,16
P31321,3,3
P31327,69,69
P31350,17,17
P31373,14,14
P31374,4,4
P31380,11,9
P31382,9,9
P31383,12,11
P31384,7,7
P31412,13,13
P31431,3,3
P31441,3,4
P31460,5,6
P31483,10,10
P31539,48,49
P31550,4,5
P31554,38,38
P31641,4,4
P31658,3,5
P31663,8,8
P31688,18,17
P31689,15,15
P31749,3,3
P31751,12,12
P31755,2,0
P31787,8,8
P31802,7,7
P31808,8,10
P31827,11,11
P31828,18,22
P31930,19,19
P31937,12,12
P31939,33,33
P31942,13,13
P31943,17,17
P31944,4,4
P31946,14,14
P31947,12,12
P31948,31,31
P31949,6,6
P31979,23,23
P32004,32,32
P32047,4,4
P32074,30,30
P32099,3,4
P32119,13,13
P32121,5,5
P32131,3,5
P32144,4,6
P32157,2,3
P32176,25,27
P32178,15,15
P32179,7,6
P32191,26,26
P32263,5,5
P32264,11,11
P32266,8,8
P32288,15,15
P32316,24,24
P32319,7,7
P32320,6,6
P32321,4,4
P32322,9,9
P32324,48,48
P32327,32,32
P32331,5,5
P32332,8,8
P32335,10,8
P32337,14,12
P32340,17,17
P32347,5,5
P32349,11,11
P32352,2,2
P32356,21,20
P32364,3,2
P32366,11,11
P32368,15,16
P32377,16,16
P32379,10,10
P32380,8,7
P32381,12,12
P32386,31,30
P32387,3,3
P32388,2,2
P32419,16,16
P32432,2,2
P32445,6,6
P32447,5,5
P32449,10,10
P32453,5,5
P32454,32,32
P32455,16,16
P32456,6,6
P32457,23,22
P32458,9,9
P32461,3,3
P32462,2,0
P32463,2,2
P32466,5,5
P32467,3,3
P32468,13,13
P32469,8,8
P32471,11,11
P32472,5,5
P32473,12,12
P32474,4,4
P32476,10,10
P32477,4,4
P32478,5,5
P32481,21,21
P32485,8,8
P32486,6,6
P32492,5,4
P32495,3,3
P32496,12,12
P32497,26,26
P32499,32,32
P32501,15,15
P32502,8,8
P32505,9,9
P32521,31,31
P32523,7,6
P32525,3,2
P32527,17,17
P32558,38,37
P32561,7,7
P32563,20,20
P32564,2,2
P32565,29,29
P32566,10,10
P32567,3,3
P32568,13,13
P32582,28,28
P32583,3,3
P32585,2,0
P32588,10,10
P32589,39,39
P32590,19,19
P32591,12,11
P32597,12,11
P32598,8,7
P32599,22,22
P32602,13,13
P32604,4,4
P32607,4,3
P32608,12,11
P32610,6,6
P32614,13,12
P32618,2,0
P32621,4,4
P32623,2,2
P32626,4,4
P32628,12,12
P32629,5,5
P32642,3,3
P32643,4,4
P32657,6,6
P32662,5,5
P32680,5,5
P32684,4,4
P32695,7,9
P32705,3,3
P32719,3,3
P32769,9,9
P32770,2,2
P32771,7,7
P32773,4,4
P32774,2,2
P32775,19,19
P32776,3,3
P32780,7,7
P32783,5,5
P32787,6,6
P32790,18,18
P32791,2,2
P32793,2,0
P32794,5,5
P32795,19,18
P32796,14,13
P32798,2,2
P32799,8,8
P32802,5,5
P32803,6,6
P32832,8,8
P32835;P32836,11,11
P32843,17,17
P32844,2,0
P32854,3,2
P32857,5,5
P32860,11,11
P32861,20,20
P32862,2,0
P32864,2,0
P32867,4,4
P32873,2,2
P32875,5,5
P32891,15,15
P32892,14,14
P32895,9,9
P32896,2,2
P32897,6,5
P32898,15,14
P32899,6,6
P32900,2,2
P32901,3,3
P32902,5,5
P32904,2,2
P32905,11,11
