PG.ProteinGroups,HYE mix A/HYE mix B|signal_log2_ratio,HYE mix A/HYE mix B|raw_p_value,HYE mix A/HYE mix B|adjusted_p_value
O15145,-0.006393957297704863,0.9989406117265314,1
O15155,0.014824457178927442,0.9995936073990181,1
O15156,0.7115506586678858,0.323300401162193,0.6391556014870104
O15160,0.07443725699844488,0.4714653550325577,0.8427943902805892
O15164,0.052364246083530644,0.9715376494509729,1
O15173,0.014115490982949768,0.9944693262937756,1
O15182,0.2020078353260792,0.25636551826908355,0.5325316253475678
O15212,0.013041175094057358,0.9639815736062005,1
O15213,0.12675758966136774,0.8093978120007945,1
O15226,-0.04576993502186737,0.9579854349038899,1
O15228,0.05219898435845889,0.8729253027260988,1
O15230,-0.028003483542973624,0.9999976830946476,1
O15231,-0.036574924664435175,0.9971068853917581,1
O15234,0.6105814946637025,0.4667313226721089,0.8369872556085888
O15235,-0.1686773711612877,0.8101461144289224,1
O15254,-0.08417477215917074,0.3605588287302767,0.6938946899398493
O15258,-0.03231191529894439,0.9998219594309639,1
O15260,0.028941515498390344,0.9251224820321553,1
O15269,0.13814540449624746,0.9456983339676432,1
O15270,0.005306257175012636,0.9999997122614519,1
O15294,-0.023930035459169087,0.9999304441656294,1
O15305,-0.004233120691287888,0.9999920702387892,1
O15318,-0.10255795328224195,0.5744693376167368,0.9630730295212002
O15321,-0.34824696617164325,0.14227990258536607,0.32554491143786
O15327,0.25928716775203586,0.3960220738223621,0.7444327554181008
O15344,0.1185620032171959,0.26711036149963185,0.5503765916383544
O15347,-0.03258949052939139,0.845095021413234,1
O15355,-0.0233217563641122,0.9914559447288872,1
O15357,-0.022802048143202847,0.9999999997445248,1
O15371,-0.007072440700212752,0.9999995424166382,1
O15372,0.053540153888367276,0.7376686260058363,1
O15379,0.009678654977304834,0.9803149547397279,1
O15381,-0.025403903053759964,0.9997587386145415,1
O15382,0.04144011308848647,0.9268294530723579,1
O15397,-0.022814672326116087,0.9999961372185943,1
O15400,-0.02374623620526385,0.9301308779183559,1
O15427,-0.012945960556206955,0.9965259749026749,1
O15431,0.0669227068410036,0.46960849030536,0.8404550883033386
O15438,-0.51234393471557,0.2586690049469857,0.5364857155172214
O15439,-0.020962112164633256,0.9910537357586919,1
O15446,0.021385193545354578,0.989551831050374,1
O15460,0.01858174868487164,0.99984236497382994,1
O15498,0.07619030324894965,0.46314586854148465,0.8320807492581068
O15504,-0.08013382553195546,0.81593710386364,1
O15511,0.009293477425407568,0.9987451528656037,1
O15514,-0.14258288586527698,0.10845912587691917,0.256812638964082
O15530,-0.0281943886904158,0.9854932965119773,1
O15533,0.06796888195632618,0.5213462345106004,0.9029319629653408
O15541,0.0020433594020907928,0.9999826175847373,1
O15554,-0.5932481458034462,0.12490550663377259,0.291192915856401
O43137,1.0696483234859775,4.229012692745273e-6,1.9518939873483666e-5
O43143,0.03143869340627636,0.991170349184986,1
O43148,-0.05218247498493367,0.8317477159725588,1
O43149,-0.008462458437719308,0.9999999762691073,1
