PG.ProteinGroups,20230224_Exp...S_OT2_MixA_TR1,20230224_Exp...S_OT2_MixA_TR2,20230224_Exp...S_OT2_MixA_TR3,20230224_Exp...S_OT2_MixA_TR4,20230224_Exp...S_OT2_MixB_TR1,20230224_Exp...S_OT2_MixB_TR2,20230224_Exp...S_OT2_MixB_TR3,20230224_Exp...S_OT2_MixB_TR4
Q16774,38121.02207779256,37181.253458407075,36542.690791842695,38472.18089731086,38772.81674298235,36820.989896325256,35502.35026851825,34570.686000924376
Q16775,22011.6592477809,21943.137295768243,22566.33551529242,19242.500252441478,19695.276034949602,20177.068601325544,20367.490825866247,19073.8827470824
Q16777;Q6FI13,19690.975603669922,26606.31418490766,42464.30998336976,27629.616012236682,28756.725604309864,14758.059028644151,12868.646809213042,18498.632306256048
Q16795,41713.95923766444,42582.2468431817,41883.4635577541,41664.129260609094,40699.98947550172,41933.07024996279,42706.440395631726,42131.49379277328
Q16798,10970.739772634328,15908.197706643094,17232.97755953766,16319.326420733816,15196.888373037667,18196.423850909934,18987.78016682481,17987.655290242124
Q16822,19315.389597724225,19118.101491743386,19489.8406861379,19047.982493262967,21117.663391104637,20309.84429183682,19523.21310991018,18685.02869279914
Q16831,40559.51305823394,34950.958542101696,33461.824830278856,28282.816937837837,44268.607193781834,41851.58850849318,38001.01968832439,43105.08084343277
Q16836,51602.75322386695,55154.0593712643,58139.08267282888,57150.00068308754,53606.76932280145,54786.30427864633,57374.47749302624,56279.69617774935
Q16850,18985.624010461423,18839.77540819272,20083.022234804022,18907.607164713212,18764.959203444996,18299.622628888235,18656.52769790217,18241.637625370608
Q16851,42218.540027525436,42323.40429103327,42457.825385574295,42896.2421396849,39666.206998675945,39259.706589990325,39866.75107485097,39566.32069717105
Q16854,5241.9978649957175,3689.6574763156964,5181.832789994317,5724.376803037469,3390.7761588525173,4476.578079159731,2978.0525312093196,4389.794953166723
Q16864,19223.932606167175,18055.770763649347,18173.225729921945,17416.496722258475,19631.421909084944,18198.07799458458,16259.484993107144,19753.757223990062
Q16875,10262.968807035833,12016.113091555926,12530.908051534954,12205.637489457196,8708.08000490053,10842.564215687618,11536.047035470425,11918.267160377218
Q16880,5984.386510473709,8028.9552608028125,6813.842341256036,8245.551316048384,7592.371224188662,6760.208415440599,6879.420171640549,6199.844931309867
Q16881,246170.34024862017,244169.8832759758,246653.02166782328,258934.57445758753,249629.70810734667,236645.8372540293,245586.59972016542,243632.57074023475
Q16890,30477.408412349716,29818.001698826512,29351.36027330479,31732.50502768066,29616.061764804825,29707.834613695886,30218.861002162237,29429.338598397728
Q16891,57991.00990512659,56435.10714606953,57767.25193095895,58404.458587146066,56110.22146869261,56290.55511770715,56568.355118575804,54435.28418679975
Q17RY0,3881.0663556253594,3710.3307818730723,3946.783404862366,4016.174512915903,3538.023406466475,3423.0054625274256,3806.2083777042544,3604.2065330294186
Q17RY6,2955.4968668886168,4464.921535364755,3680.7759650388066,2047.6961444461026,2546.169882431492,3838.3515117231145,4330.581807527369,3899.3984211633124
Q1A5X7,8103.185520863171,7457.092700616999,9407.704943437695,8180.315565232712,17615.021076320663,17517.477610419304,22378.628962599065,15574.36268887799
Q1ED39,11177.127954263367,11528.51960428058,11586.00488532797,11006.853361911013,11183.141960012968,12385.777615706791,11985.050222011101,12129.391846483275
Q1KMD3,82975.49456842346,76452.17818702183,81828.6996159625,82380.84470129476,75788.95315320672,76735.41457003048,77096.60313864016,75653.42819960916
Q27J81,18329.27418228544,18480.120800661138,17762.647971962288,17828.923343974435,17919.668469709006,17788.741545716006,17523.0829516446,18154.47234184532
Q29983,46975.457854077766,43324.95772181901,48607.893066068194,47163.90436011328,43174.033577529946,41161.633224970465,41930.98348266453,45146.387924366965
Q29RF7,25879.8063214579,25669.13693601751,25820.337277566206,26556.455631072746,24891.427294963956,25143.816973766363,24912.017234050596,24566.62356123581
